generation,i,fitness,hash,mom_hash,dad_hash,values
0,26,[-6.8980362700652815, 7.579227772846167],-1273800021952417986,0,0,0.5429702259478599  1.775576726316329
0,27,[-5.0637451517813945, 2.8294051881698623],-9202737707916776690,0,0,3.394606798895232  -0.23005955107493836
0,28,[-4.509344448736589, 5.096358290510162],-6378152401063236742,0,0,-3.9590701045255527  -0.42826877535035734
0,29,[-4.191353325546062, 5.190448954850138],1402534738381262371,0,0,-3.356802201435458  2.7632056815140267
0,30,[-4.467608213479624, 5.543044582279633],6161871573907248718,0,0,-4.026824794582575  -0.12157119625681201
0,31,[-3.936239649464926, 5.67225424147011],361986140743211777,0,0,2.9461985978795733  -3.6127907667555514
0,32,[-5.052238286503272, 6.162777051131695],-3001574244865141070,0,0,-3.282858755875072  0.9362983182059592
0,33,[-4.502446547078784, 6.480090615011444],-4666662373453869858,0,0,0.6142577857210139  -3.94225286621995
0,34,[-3.7379381435503407, -0.9788683979443014],3060646433530287347,0,0,4.919665485002492  0.07614092241727288
0,35,[-8.705073512739373, -0.4064498667910193],-4139414341397475490,0,0,-0.6883962146446079  -0.08311315899965699
0,36,[-7.547345506870682, -0.7566101467089772],4180698500103997594,0,0,0.7158410473406658  -1.2112259744388898
0,37,[-7.503209263659757, -2.4668707146602387],6184557167197161233,0,0,-1.3640403604323872  0.4497434527122941
0,38,[-6.191613658532332, 0.48574219280609965],602865584605637233,0,0,-2.3666671007279136  -0.3797902208100652
0,39,[-5.835761026183438, -0.7928618282512003],3721389791582084627,0,0,-2.5103444510100204  -0.9746241458539462
0,40,[-4.225788805470899, -0.0192524456412837],470274856541584954,0,0,3.7951555986941816  -2.0362084831870355
0,41,[-5.947437237343665, 1.6536117493502585],1576970658960405711,0,0,-2.592011081721366  -0.17811182527675573
0,42,[-7.013990595424044, 1.9492659984880136],3423213786766601093,0,0,1.2000295179367457  -1.305697610867369
0,43,[-3.6022213457363472, 8.336227444254337],-5643635850014196233,0,0,-4.526675427290469  -2.36050642655243
0,44,[-6.2678628851978955, 9.250642300106506],-8945354547926542978,0,0,1.0335950060015353  2.094612401686023
0,45,[-5.110249299249872, 2.2443816028685086],-4393416881185376162,0,0,2.5373044174861583  -2.197593511190777
0,46,[-3.325708654050705, 9.479371295043208],783161007066606468,0,0,3.462893802412614  -4.278786516999473
0,47,[-2.9037913251583056, 9.127214995525225],-5727916816224890945,0,0,4.033989829698722  -4.685555211209943
0,48,[-3.5480994561418013, 9.203508947137115],-3513445226824318305,0,0,2.9567500292453994  -4.254290925005605
0,49,[-6.102546597997912, 9.749308696978723],-2145921711024699798,0,0,2.1706731901104  1.1773223578512981
0,50,[-4.596044223087949, 3.5224935959117767],-2237186462810087827,0,0,3.830240682561456  0.6615149734497301
0,51,[-4.17161030485278, 1.1715117536602988],-141034421294525423,0,0,3.771571228635583  -2.210094601709538
0,52,[-4.742933313593077, 1.4861419211236078],-5164268804600072253,0,0,-0.7382712645368503  3.6558472047807395
0,53,[-4.293630630970338, 4.736213974258561],6299824190736942820,0,0,3.072860658551491  -2.902976422582201
0,54,[-3.3100981304916277, 9.796781506770827],2075962240191076136,0,0,-2.5968969546922525  -4.880093379788766
0,55,[-5.7428617335539816, 11.171807439009424],-3607906789832711739,0,0,1.7859515374466124  2.121477605682389
0,56,[-5.165108737131915, -0.08112797827090201],7767388378952622436,0,0,2.715207372188991  -1.881330575298017
0,57,[-4.6466404594977115, 0.5252411574139697],7909451633418575916,0,0,-3.2742583309894835  -1.991233999634062
0,58,[-4.568953821580456, 4.612641010648417],-7553753762938910316,0,0,3.8249472581885247  0.8418928182363512
0,59,[-3.6866507286825367, 11.444320349344371],6979630704674154595,0,0,2.339367970668512  -4.406904435891082
0,60,[-3.6492562272749876, 4.8662117771124365],4262947681829421625,0,0,4.826070004375913  1.453877254646919
0,61,[-4.3599799487926525, 4.990687493797841],3591834753853138068,0,0,2.755865413049291  -3.103641088254295
0,62,[-4.135045732954483, 5.4309925660235345],-7738927017118877213,0,0,-0.9438756794054157  -4.31336897314734
0,63,[-3.075342799829601, 1.495676977323289],-2754029206056339672,0,0,-3.5386246158935855  4.71583582039994
0,64,[-3.8014225087269233, 3.329025523101755],8020133292428633135,0,0,2.63840483383476  4.052923332300658
0,65,[-4.2385429701046204, 4.424200318600801],-5597500493048156323,0,0,3.3320473530625367  -2.7050406037748242
0,66,[-3.887864913985723, 5.25835533592258],4626244978578535021,0,0,3.3315021207435276  -3.34868996203171
0,67,[-3.6506754725034445, 4.996790376138917],8663908001539432552,0,0,-1.644861568307098  -4.762304728486614
0,68,[-4.197795287734555, 11.882350811753504],-8156664482886244418,0,0,1.591787999481614  -4.037687906198383
0,69,[-3.9133561775655834, 5.294426129459608],156110346913977969,0,0,-4.15116374366089  -2.184682768301033
0,70,[-6.018987853180238, 5.450881848751998],-8911823276809126483,0,0,2.4409058161020063  0.6964893684241158
0,71,[-3.8115455062996833, 5.791374148717495],-4449782827489884240,0,0,-3.196507240750618  -3.6112706195507815
0,72,[-3.940106002254286, 6.405640686147603],-6118106555432924259,0,0,-4.556890945315242  -0.9598669246951292
0,73,[-3.431708572332223, 12.070391003148414],-731705595685744524,0,0,-4.785153209676537  2.387362509387269
0,74,[-3.8533682703212624, 13.45960763127247],4373337004809545054,0,0,-4.618477430270471  1.1854433606808632
0,75,[-3.809966763055926, 6.750277672115038],-6554163904330166254,0,0,2.902811907369678  -3.853907282048885
0,76,[-3.54322888742133, 11.373206700017153],-6282832243095136838,0,0,2.487327175868562  -4.552557594185107
0,77,[-3.3022169467648665, 10.025556870354515],-7942136090314455101,0,0,-4.315675128284005  -3.47362235281212
0,78,[-2.9917528204041903, 13.467139804209594],5062128561928473981,0,0,-4.452722289358362  -4.071600921103011
0,79,[-2.8993639436397407, 10.1381749572969],7643435265229582371,0,0,-4.901218425511489  3.781528633224209
0,80,[-3.7247768317128966, 10.91077097031752],4370633598899291391,0,0,-4.331073909294578  2.3716163357671327
0,81,[-3.428470718375637, 1.9631378435534375],-6528127075734153816,0,0,4.771294110567652  2.425375249159222
0,82,[-3.3960086631331583, 9.033872770629522],-4771746253715776557,0,0,-2.423605503396762  -4.825483099409832
0,83,[-3.3463008604998428, 1.234672544597077],7523417369518567110,0,0,4.473853448085656  3.1536417914829524
0,84,[-3.0868044138088226, 12.37138966872722],7224088184942095038,0,0,-4.173255847111933  -4.1383483702303705
0,85,[-2.7938139919320877, -2.038418136650543],3940240011316425071,0,0,4.732380084295718  4.272764247610208
0,86,[-6.568110661377756, -1.3872544918338965],-5818587033956548762,0,0,0.0020241843624031475  -2.1017933873818064
0,87,[-4.964180889690001, -1.0250237167163472],-1816459344636860948,0,0,-3.184559382561977  -1.4561496780261853
0,88,[-9.366510989187576, 0.31946768918153134],-9066524634422967312,0,0,0.039227455498803465  -0.32486232244924995
0,89,[-9.113336075417939, 0.36675387820413075],-2897659020734659308,0,0,-0.4305311009779187  -0.17364798343186383
0,90,[-7.66651412863788, 0.6868396486503556],-4607893043287757910,0,0,0.8279403414917148  -1.0391022257195215
0,91,[-5.014456100262253, 0.8736858221542563],-811100240054146416,0,0,-0.9457081568516523  3.319203568531673
0,92,[-4.457966563822306, 1.084250420448592],-4140186818444438732,0,0,0.23868259806391823  4.032404020343899
0,93,[-4.356819202180492, 4.9582315506386045],-3053566339811837806,0,0,2.7754347230709575  -3.091028603560523
0,94,[-4.042870718471706, 5.154286505744145],-1541492985615984457,0,0,-3.6474789790385787  -2.6832896077283186
0,95,[-3.8075143528777504, 4.69705956441898],5756971932743353175,0,0,1.9188151075852264  4.430366103780182
0,96,[-3.479219215393641, 1.1702856067327096],-8805919471477911346,0,0,2.742135987297595  4.510801146441928
0,97,[-2.9185181170730146, -1.659547414355396],4299914763100792656,0,0,4.271583909796414  4.434967583509932
0,98,[-5.583083658135858, 5.017098820029042],883186102642922471,0,0,-2.1920139311109086  1.9203511500668426
0,99,[-4.572685826692707, 5.263106248136037],-2289204918707868365,0,0,2.569461863171685  -2.9504084090733773
0,100,[-3.8467435736278626, 5.497761955198204],8370570267624081153,0,0,-2.0719491669832624  -4.304039434128408
0,101,[-3.6474187866189705, -4.4003734744712695],3888196495230793236,0,0,-1.8403688066295611  4.6950127428130255
0,102,[-4.952601887111489, 7.102345993578604],7054823950404524314,0,0,1.083610783376482  3.342078229005562
0,103,[-6.280939439320445, 11.434460089049225],9160458819659845180,0,0,1.2896065788421218  1.9349582903656604
0,104,[-6.057739887284255, 1.5923521534151774],1286648306641728111,0,0,2.1142441197464157  -1.3458152617960053
0,105,[-5.745655111761932, 2.0807681639652915],3485138390222600029,0,0,-2.7705497347895602  -0.02940581222119132
0,106,[-3.588481417940246, 2.24771899957618],3249833296868907512,0,0,2.3725773778696073  4.541929243277094
0,107,[-5.217344785969191, 2.945386395480864],3795303570400256482,0,0,0.23439702252618932  -3.244526560566129
0,108,[-4.725659954378035, 9.01480914121175],5945847995481668829,0,0,-3.3263913809643864  1.7267874564973074
0,109,[-4.692117152806635, 2.5707006331990634],6746579947641758193,0,0,-3.697827206873958  -0.8006193657428051
0,110,[-4.4811388130768055, 8.546345364503779],4208588613432467348,0,0,1.5645361868382102  3.6960418039133067
0,111,[-4.304774018093212, 4.930023204814473],-5966068357526860951,0,0,-3.1233276833132386  2.8293404904882626
0,112,[-4.219623466452123, 5.8287857185408924],-8221111187786690406,0,0,2.4355235219902234  3.5609706653705313
0,113,[-3.722600829131814, 3.41063768520888],3537563958142820025,0,0,4.808793404091599  1.1345198162231265
0,114,[-4.381861675644955, 6.023715736751724],233429535740412260,0,0,-0.4172314089038167  -4.104404863997989
0,115,[-3.812102362732957, 6.826864172571482],4010275967784424860,0,0,2.880853396215736  -3.8668556834199794
0,116,[-4.547031998168244, 7.141065423527581],7581193885501439409,0,0,2.1905906147430425  3.2755552313277345
0,117,[-3.9692239747481413, 10.828585371563001],8943545424692431767,0,0,2.115321870521756  -4.107369330380583
0,118,[-3.0741517527227, 3.980872851115962],-8328636232014813374,0,0,-3.955352452195966  4.374814370541255
0,119,[-7.940857219714724, 5.27138969846712],7598671057696973601,0,0,0.39240241406144705  1.0839800274086802
0,120,[-6.205510021087083, 2.3254771040455613],-4309176105899840619,0,0,-1.4115872029585685  1.923321234403348
0,121,[-6.061617938017351, 8.594074688610423],-5870842381821333092,0,0,2.2650171189954014  1.0653240138832212
0,122,[-5.831785935456409, 1.8910121867322056],-5978463900316483182,0,0,-0.04313723471594599  -2.695963930363212
0,123,[-4.99323693434861, 3.015302606095008],-7409705827766347485,0,0,0.0825338636389148  -3.471522582629578
0,124,[-6.006898007737095, 3.9410944539467936],5309609905131570852,0,0,0.9553687931178922  -2.362525512232235
0,125,[-5.9931110838019315, 2.8309104430957683],727076751022632396,0,0,2.4746890010748457  -0.6548739790250577
0,126,[-3.782166380347972, 4.7894573191018806],-8121635386438872675,0,0,-4.566004236923401  -1.66889500936364
0,127,[-4.701748497116046, 6.755711322169521],434371064659016093,0,0,1.071523353166893  3.6179106046394267
0,128,[-6.478569667203527, 8.549465819302759],-2323505975544542628,0,0,0.8545520248903742  1.9951172495923686
0,129,[-5.00537646949411, 3.0580662654273096],1053911482535963885,0,0,0.1322433879674625  -3.4578344502026734
0,130,[-6.097442394634061, 3.606925785530918],571066719310021873,0,0,2.4651453497272824  0.20408021912099628
0,131,[-5.8604210047966, 5.647560068214829],6986895733247747598,0,0,1.2172476970630282  -2.3784282112286883
0,132,[-5.765544078198945, 2.9092094746009227],-26221314555553266,0,0,-1.8938270488248876  1.9986955668677764
0,133,[-3.7453928001779113, 4.577590190548079],1120824726806154124,0,0,4.70342363956804  1.4102422363663134
0,134,[-4.283578828840025, 4.900625035319896],-1474180457168948529,0,0,2.875331332369334  3.1147122016594064
0,135,[-4.587573295345967, 8.33718857379045],8298421345154986577,0,0,-3.3633735111987484  1.9666864255390406
0,136,[-4.486505592247935, 0.5846513514285446],-7299648465577996234,0,0,3.9482994547237045  -0.6866053028102881
0,137,[-3.70414433047812, 2.9250450158471137],7472185675907752162,0,0,2.839664164139384  4.073588950169615
0,138,[-3.115776640354515, 10.684197425161948],-8773693599272489401,0,0,-3.097979617766141  -4.9393967459460075
0,139,[-3.2042840774068644, 10.861296054938522],5785638353078807264,0,0,-3.5523809514674145  -4.445466816427523
0,140,[-4.019636493151845, 12.094947288796103],8827042530931937126,0,0,1.0601127541866182  -4.43194304669139
0,141,[-3.7441449037467898, 4.138545687341821],5546630728559497937,0,0,4.739555208817922  1.2899454337630747
0,142,[-3.001890317245568, 1.9385615686540532],1336434073063147816,0,0,-3.6537872283882997  4.780239751761252
0,143,[-3.928660337803551, 4.660701987137221],-9098726656326919843,0,0,4.095940399811132  2.246232134918367
0,144,[-5.639976273345635, 6.790401058585416],-8336225927836311007,0,0,-2.582908298483914  1.2362713528271216
0,145,[-3.996953861640689, -3.9997452421098423],2851706097230880630,0,0,4.426880013859639  -1.1947251278350333
0,146,[-4.282667373070243, 5.09639689989679],-997345435580205430,0,0,-3.2339192204993648  2.742216366497452
0,147,[-3.749733465044799, 7.952657883347989],-6054984217706336990,0,0,-0.6580539920226887  -4.860154468046102
0,148,[-3.719036749714671, 8.293130097404356],8239482198243675842,0,0,-0.49556066202288385  -4.920711188331566
0,149,[-2.9044882529184934, 9.496834672897766],7451010191211481374,0,0,-4.741268312117493  3.966489682570174
1,0,[-8.979619716837764, 0.2741682769398011],-5083677704211662296,7722721532481639859,8239482198243675842,-0.49556066202288385  -0.2097901776554263
1,1,[-7.010210770707236, 6.522210434450365],-7985907063729078613,-6378152401063236742,-5301600398422437445,1.7236790768679189  -0.42826877535035734
1,2,[-6.969374971334519, -3.962097653310252],7257916984799309778,-8121635386438872675,-4139414341397475490,-0.6883962146446079  -1.66889500936364
1,3,[-7.612502013343349, -3.2985514297198164],-804198353015724027,2851706097230880630,-6054984217706336990,-0.6580539920226887  -1.1947251278350333
1,4,[-6.920336180326794, -2.789186757540779],5053631609219931785,3485138390222600029,3888196495230793236,-1.8403688066295611  -0.02940581222119132
1,5,[-4.793393556573839, 0.8650821340683086],-540971264810569879,-8221111187786690406,7479074797279127476,-0.9153406623105367  3.5609706653705313
1,6,[-3.827661369410813, -4.00431512550273],-2325403137977999589,3888196495230793236,4299914763100792656,-1.8403688066295611  4.434967583509932
1,7,[-6.612252520862302, 0.3999893322335626],-4605286346881240129,-8343217403207533847,7767388378952622436,0.859345739058206  -1.881330575298017
1,8,[-3.0205687109539427, 0.7034697612637935],767005049552425479,-5164268804600072253,5546630728559497937,4.739555208817922  3.6558472047807395
1,9,[-8.146384478284391, 3.724816279265935],8519701082279678258,-3001574244865141070,233429535740412260,-0.4172314089038167  0.9362983182059592
1,10,[-7.428550447860063, 4.9212178472016355],6661386163041857030,-5164268804600072253,5546630728559497937,-0.7382712645368503  1.2899454337630747
1,11,[-6.605927003346156, -6.326072865268698],-8721204408679654670,4180698500103997594,7444372679515659447,-1.6824476144485043  -1.2112259744388898
1,12,[-6.096859947296939, 3.5264041709790703],-5287548843954510445,571066719310021873,7722721532481639859,2.4651453497272824  -0.2097901776554263
1,13,[-5.982736890216305, 1.2580813343571684],-8966465745995273158,4180698500103997594,-5870842381821333092,2.2650171189954014  -1.2112259744388898
1,14,[-5.9455729599547915, 1.8749471111642162],6801292276393333612,-8221111187786690406,7479074797279127476,2.4355235219902234  -0.9091854749986208
1,15,[-7.736019822641249, 6.579383207544277],-6772064826447245828,4180698500103997594,-5870842381821333092,0.7158410473406658  1.0653240138832212
1,16,[-5.907516015509847, -5.5069633518556405],9183578185913300734,3888196495230793236,7767388378952622436,-1.8403688066295611  -1.881330575298017
1,17,[-5.831011085031218, 2.615870117205141],5589067150474972511,8020133292428633135,5548826195401826750,2.63840483383476  -0.5590039759529963
1,18,[-7.7288238436346965, 6.585203048703075],-6377080014900279205,-8911823276809126483,7054823950404524314,1.083610783376482  0.6964893684241158
1,19,[-6.566216396133137, -5.070500387785778],6405804556842545217,-4607893043287757910,4251491830634510293,-1.8286253594175363  -1.0391022257195215
1,20,[-4.345826606135474, -1.2237017146586857],-6068494353369696114,8020133292428633135,5548826195401826750,-0.9676850060533182  4.052923332300658
1,21,[-4.3173924088739195, 0.1901658405933555],-467049594979011311,571066719310021873,7722721532481639859,4.194705903930707  0.20408021912099628
1,22,[-6.044090958890525, 6.624075851731822],7847671793546639460,3249833296868907512,-7553753762938910316,2.3725773778696073  0.8418928182363512
1,23,[-7.36125925788373, 8.512985465348976],4638509015578901957,-4607893043287757910,4251491830634510293,0.8279403414917148  1.288734010676892
1,24,[-5.166280315331749, 4.203853945827407],2126055586581529524,-4666662373453869858,3795303570400256482,0.6142577857210139  -3.244526560566129
1,25,[-5.134907503858833, -0.06167584979572549],-3820876907150061090,-997345435580205430,-26221314555553266,-1.8938270488248876  2.742216366497452
1,26,[-3.7381102962053414, -4.892346314110813],-2806819395601324657,1286648306641728111,3940240011316425071,4.732380084295718  -1.3458152617960053
1,27,[-3.700159385590875, -4.875022183884321],6706409585410178584,6184557167197161233,1336434073063147816,-1.3640403604323872  4.780239751761252
1,28,[-3.04954846053255, 0.23628415849277484],-750877474541947473,3249833296868907512,-7553753762938910316,3.8249472581885247  4.541929243277094
1,29,[-9.596954438544133, 0.4293458465035985],2963117180621063189,-4139414341397475490,6293771175391396242,0.1881574714653862  -0.08311315899965699
1,30,[-7.607218403124202, -3.3571628746662974],-808760346627142437,-4139414341397475490,6293771175391396242,-0.6883962146446079  -1.1815227708656773
1,31,[-6.492840556205999, -1.361624918249131],-1617795305912911015,-5818587033956548762,8239482198243675842,-0.49556066202288385  -2.1017933873818064
1,32,[-6.269959350202202, -3.126407503924228],-264256836374880973,3721389791582084627,-5372553321198859861,-2.120853378255596  -0.9746241458539462
1,33,[-3.379960453952239, 1.0254618991134699],2472006688270114938,3888196495230793236,7767388378952622436,2.715207372188991  4.6950127428130255
1,34,[-8.501183203709385, 2.233093591994799],-6822538540932024772,-8911823276809126483,233429535740412260,-0.4172314089038167  0.6964893684241158
1,35,[-7.146991022121659, -3.1263019400156344],-4086295566891703159,6293771175391396242,-8121635386438872675,0.1881574714653862  -1.66889500936364
1,36,[-4.826913281919806, 2.479727183266458],1663415510399730382,434371064659016093,233429535740412260,-0.4172314089038167  3.6179106046394267
1,37,[-4.913146019971724, 3.2090946493514507],8438993052977543662,-4139414341397475490,5785638353078807264,-3.5523809514674145  -0.08311315899965699
1,38,[-3.8144636508555867, -3.0583415846923145],7026057790534328639,7479074797279127476,3940240011316425071,4.732380084295718  -0.9091854749986208
1,39,[-4.173033183030435, -2.0688330252665965],4393257018061223908,7479074797279127476,3940240011316425071,-0.9153406623105367  4.272764247610208
1,40,[-8.213647300206434, -1.5952873669884855],-7716202987652064586,1576970658960405711,5548826195401826750,-0.9676850060533182  -0.17811182527675573
1,41,[-6.813737221828399, -5.131679285351854],-1842869530387630824,-8121635386438872675,-811100240054146416,-0.9457081568516523  -1.66889500936364
1,42,[-3.7695181798052175, 3.466165640151974],9061457537828967181,7451010191211481374,7472185675907752162,2.839664164139384  3.966489682570174
1,43,[-3.7361605341577073, -4.418436915589687],-8297982941064786256,4180698500103997594,-6528127075734153816,4.771294110567652  -1.2112259744388898
1,44,[-8.096120769283395, -1.8752775818595908],-8438190918308549323,6293771175391396242,-4607893043287757910,0.1881574714653862  -1.0391022257195215
1,45,[-3.4136718662317076, 3.775565812377247],3894740986384271428,-4140186818444438732,5785638353078807264,-3.5523809514674145  4.032404020343899
1,46,[-4.5391604865667885, 5.221623064664901],-2997414389635142900,-4666662373453869858,3795303570400256482,0.23439702252618932  -3.94225286621995
1,47,[-6.790966160781413, 5.782087137338247],-4579348414483169950,9160458819659845180,-5818587033956548762,0.0020241843624031475  1.9349582903656604
1,48,[-6.527233868859186, 0.21520695612054097],-2498825868394608033,4180698500103997594,7444372679515659447,0.7158410473406658  -2.0093033384997536
1,49,[-5.6055078424796765, -1.8644859576868802],5076442711971294013,3423213786766601093,-8336225927836311007,-2.582908298483914  -1.305697610867369
1,50,[-5.884161062507193, 1.3120419957834444],-3604744231695254569,1576970658960405711,5548826195401826750,-2.592011081721366  -0.5590039759529963
1,51,[-7.94284519544962, 5.30626028625277],5881773374017178282,8827042530931937126,6184557167197161233,1.0601127541866182  0.4497434527122941
1,52,[-7.493517412938315, 0.04075006913826673],-8322675023297363961,6293771175391396242,-4607893043287757910,0.8279403414917148  -1.1815227708656773
1,53,[-8.323688324862848, 3.61967693231528],7258387301930465877,-5301600398422437445,-4666662373453869858,0.6142577857210139  0.6814005584256924
1,54,[-6.106823825745157, 4.2651184598770815],918862798096139705,9160458819659845180,-5818587033956548762,1.2896065788421218  -2.1017933873818064
1,55,[-6.094858006380965, -6.321524745941822],-643014876815303410,-8121635386438872675,4251491830634510293,-1.8286253594175363  -1.66889500936364
1,56,[-7.6119062675773925, -3.345959130121751],8402324819601287146,6184557167197161233,3485138390222600029,-1.3640403604323872  -0.02940581222119132
1,57,[-6.378791323308089, -5.531923858327147],668226158676829696,4180698500103997594,-26221314555553266,-1.8938270488248876  -1.2112259744388898
1,58,[-6.593491412215181, -4.70202950914301],1091791469069005060,3888196495230793236,3721389791582084627,-1.8403688066295611  -0.9746241458539462
1,59,[-6.276192269011327, 0.2353987144562873],-5156506072326075782,1576970658960405711,-2809877145714281451,-2.322287835074323  -0.17811182527675573
1,60,[-5.823896841509316, 5.584885832637021],-7420678615431827460,156110346913977969,-8156664482886244418,1.591787999481614  -2.184682768301033
1,61,[-6.030460346323059, 5.624964612434148],-1095474923200226791,4180698500103997594,-6528127075734153816,0.7158410473406658  2.425375249159222
1,62,[-6.181646888618115, 7.345662703665786],6508540422630761174,-8343217403207533847,-9098726656326919843,0.859345739058206  2.246232134918367
1,63,[-5.957736752742695, 4.6227726803426705],-8729841258427961984,5309609905131570852,8827042530931937126,1.0601127541866182  -2.362525512232235
1,64,[-5.603868429831001, 4.967752655844047],-7196893035547083682,-7553753762938910316,3485138390222600029,-2.7705497347895602  0.8418928182363512
1,65,[-5.576338556053782, -1.9316843044880596],3923599585572200042,1576970658960405711,-2809877145714281451,-2.592011081721366  -1.3451459399244312
1,66,[-5.440178536029276, 0.7201503842231705],7893019266843484391,7479074797279127476,6299824190736942820,-0.9153406623105367  -2.902976422582201
1,67,[-5.268136256701803, 0.9273071167270222],-5558506950446639048,7479074797279127476,6299824190736942820,3.072860658551491  -0.9091854749986208
1,68,[-7.236600826494913, 1.5051231666441733],-5064312875206697341,434371064659016093,4180698500103997594,1.071523353166893  -1.2112259744388898
1,69,[-4.80037711109203, 9.013820323261433],7137108936022549150,-811100240054146416,4208588613432467348,1.5645361868382102  3.319203568531673
1,70,[-4.662549714825722, 0.40621086339660106],658736820340139910,-811100240054146416,4208588613432467348,-0.9457081568516523  3.6960418039133067
1,71,[-7.085156769570105, 10.60415301476031],-2943425564406147102,3423213786766601093,-8336225927836311007,1.2000295179367457  1.2362713528271216
1,72,[-5.911661341538509, 1.5285680768988272],788655908780022032,3721389791582084627,-8911823276809126483,2.4409058161020063  -0.9746241458539462
1,73,[-5.93905767266048, 3.1294519436019708],-5979089394007063888,3721389791582084627,-8911823276809126483,-2.5103444510100204  0.6964893684241158
1,74,[-4.653283199193724, 1.7256565187696618],480605757180284698,-7553753762938910316,3485138390222600029,3.8249472581885247  -0.02940581222119132
1,75,[-5.704309435277257, 2.9598565794268037],1267370737818474116,6184557167197161233,3485138390222600029,-2.7705497347895602  0.4497434527122941
1,76,[-6.980149462157815, 6.574484861029327],3627618670037251554,571066719310021873,-3607906789832711739,1.7859515374466124  0.20408021912099628
1,77,[-6.7988591672948395, -5.240808696661409],2417955041432354824,5548826195401826750,-8121635386438872675,-0.9676850060533182  -1.66889500936364
1,78,[-6.28515224883274, 3.2186175361272733],3208430099440810934,-7738927017118877213,-3607906789832711739,-0.9438756794054157  2.121477605682389
1,79,[-4.7567252425458015, 4.690673912710965],-7317300838914144275,-2289204918707868365,-1541492985615984457,2.569461863171685  -2.6832896077283186
1,80,[-4.477787165232204, 6.932330614134695],3308511666333731089,-6378152401063236742,-5301600398422437445,-3.9590701045255527  0.6814005584256924
1,81,[-4.370499128363912, 5.968024793627527],-6924305983123547917,-8911823276809126483,7054823950404524314,2.4409058161020063  3.342078229005562
1,82,[-4.295008234034642, 9.103025521277768],169352688619713086,-2323505975544542628,7224088184942095038,0.8545520248903742  -4.1383483702303705
1,83,[-3.361141750209719, 0.4695814470348014],2319703276233461480,3485138390222600029,3888196495230793236,-2.7705497347895602  4.6950127428130255
1,84,[-3.3804920739440347, 4.612759139256195],-2123924702452007713,7451010191211481374,6746579947641758193,-3.697827206873958  3.966489682570174
1,85,[-2.8097730710623825, -2.0556057633239346],-7933229677399966135,3888196495230793236,4299914763100792656,4.271583909796414  4.6950127428130255
